107,10,35,1,1,1,7,1,3,0,0,0,0,3,1,13,3,0,1,0,0,2,2,0,0,0,0,1,0,11,
136,14,35,1,1,1,7,2,4,0,0,0,0,4,2,14,3,1,3,1,0,2,7,1,0,0,0,1,0,12,
1 KB,154,15,35,1,3,2,8,3,4,0,1,1,0,4,3,14,4,1,4,2,3,2,7,1,0,0,0,1,0,12,
2 KB,170,17,35,4,3,3,20,3,4,0,11,6,0,4,3,22,8,1,4,3,3,7,10,9,1,6,0,1,13,12,
4 KB,181,22,36,5,4,3,20,6,5,0,11,6,1,4,3,38,8,1,4,3,4,8,10,9,1,9,0,1,13,12,
8 KB,224,24,39,5,7,6,21,6,5,5,11,6,2,6,3,38,8,1,5,3,4,8,10,10,1,9,1,1,13,13,
16 KB,239,24,40,5,7,6,33,6,5,7,11,6,2,6,4,38,31,1,5,5,7,8,10,10,5,10,1,2,14,16,
32 KB,271,36,40,7,14,9,35,8,9,10,12,8,2,8,4,39,33,4,8,7,10,16,10,12,17,11,23,20,15,18,
64 KB,321,51,42,13,15,22,36,14,20,11,17,20,10,9,7,41,36,10,28,13,17,17,10,24,19,14,25,20,19,18,
128 KB,346,61,44,14,16,23,38,16,21,11,18,22,12,13,13,42,37,11,30,14,20,20,13,28,22,18,27,22,22,20,
256 KB,612,100,80,34,40,37,51,32,36,26,29,28,15,17,19,46,52,16,36,23,43,39,32,41,36,31,40,35,35,35,
512 KB,1131,210,163,84,96,81,103,76,91,64,68,71,39,48,47,92,82,42,61,52,74,54,55,58,86,54,65,57,55,57,
1 MB,2185,314,217,164,163,120,142,119,163,114,136,116,93,97,99,123,113,77,89,82,102,79,117,88,127,91,90,102,83,88,
2 MB,4788,1330,442,334,333,287,317,282,343,288,299,286,244,250,292,334,282,284,245,245,258,243,292,239,291,255,261,262,246,272,
4 MB,14238,6934,3690,2872,2770,2604,2708,2501,2452,2372,2375,2512,2323,2308,2333,2318,2195,2183,2161,2083,2086,2120,2119,2064,2096,2173,2088,2089,2116,2183,
8 MB,50905,34373,21075,18671,17964,17625,17129,16542,16336,15944,15334,15312,14991,14844,14789,14664,14475,14449,14226,13957,13862,13759,13761,13590,13508,13492,13467,13459,13359,13363,
16 MB,194932,159040,127299,119550,115500,112921,111053,109154,107642,106386,104571,103616,101367,100482,98844,98053,96682,96228,96038,94775,94118,93287,92790,92489,90348,89677,89244,89122,88457,88032,
32 MB,553537,496525,456673,443797,433954,427865,423058,418694,415068,407666,404095,401007,396196,393634,391859,388543,385488,383307,381544,379217,377092,375216,373384,373354,370016,367419,365162,364559,361638,359744,
64 MB,1317410,1245272,1201058,1184903,1175928,1166735,1159447,1153014,1154579,1142925,1136748,1131729,1125364,1123668,1120087,1116480,1110974,1109293,1105913,1101881,1098379,1095368,1094597,1093084,1088182,1084195,1084141,1082745,1078895,1075667,
128 MB,3105372,3014303,2963684,2943318,2936395,2922520,2911662,2902572,2902625,2890280,2881798,2875372,2867371,2871949,2863615,2859727,2853640,2851604,2847288,2841135,2836214,2832223,2836829,2831283,2824995,2821424,2819667,2820684,2814454,2811124,
